Question,Option1,Option2,Option3,Option4,answer
What is a core Australian value that underpins their democratic system?,A: Freedom of religion,B: Freedom of speech,C: Freedom of movement,D: Freedom of marriage,4
What is the Executive Power?,A: The power to make laws,B: The power to break laws,C: The power to put the laws into practice,D: The power to put people in jail even if they follow the laws,4
When was the bushfire season in Australia?,A: 2018-2019,B: 2019-2020,C: 2020-2021,D: 2021-2022,4
What do the points of the stars represent in the National Flag of Australia?,A: The 6 states,B: One point for the territories,C: None of the above,D: Both A and B,4
Under what circumstances can the police arrest people and bring them before the court of law?,A: If they want to,B: If someone has broken the law,C: If someone is suspicious to them,D: All of the above,4
What is the importance of laws for Australians?,A: They recognise the importance of laws in maintaining a peaceful and orderly society,B: They don't agree that there is an importance of laws in maintaining a peaceful and orderly society,C: They are not aware of the importance of laws in maintaining a peaceful and orderly society,D: Both B and C,4
Generally how does the Australian government come into power?,A: It is generally formed by the party of coalition of parties which have the majority of members in the House of Lords,B: It is generally formed by the party of coalition of parties which have the majority of members in the Senate,C: Both A and B,D: It is generally formed by the party of coalition of parties which have the majority of members in the House of Representatives,4
What powers do the Australian Judges have?,A: The power to interpret law only,B: The power to apply the law only,C: The power to make sure law is being followed,D: Both A and B,4
What role do active citizens play in Australian society?,A: They help in doing volunteer work without pay,B: They take on the responsibility and privilege of shaping Australia’s future,C: They take on the responsibility and privilege of shaping America’s future,D: None of the above,4
What role did Australia’s national identity have in people wanting one nation - Australia?,A: They didn’t want Australia’s national identity to get lost,B: Australia’s national identity was slowly being formed,C: None of the above,D: Both A and B,4
Who appoints the judges and magistrates?,A: The people,B: The government,C: Both A and B by consensus,D: None of the above,4
What happens during Australia Day celebrations?,A: The coolest Australian of the year award is announced,B: The Australian of the Year Awards is announced,C: Both A and B,D: None of the above,4
What do Australians value?,A: War,B: Violence,C: Mateship,D: Acquaintanceship,4
Why should migrants learn and use English ?,A: To help them participate in Australian Society,B: To help them study abroad,C: To help them in living a wholesome life,D: None of the above,4
What is in the top left corner of the Australian National Flag?,A: The joker,B: The cross,C: Both A and B,D: The Union Jack,4
Who is eligible to pay taxes?,A: Job holders business men investment holders etc,B: Housewives,C: Only Entrepreneurs,D: Men who do not work,4
If needed who should defend Australia?,A: The military,B: The navy,C: The air force,D: All Australian citizens,4
What type of political system does Australia have?,A: Monarchy,B: Democracy,C: Parliamentary democracy,D: None of the above,4
What major issues does the Australian government tackle?,A: Defence,B: Trade and commerce,C: Foreign policy,D: All of the above,4
Which bodies collect taxes apart from the Australian government?,A: State and territory governments and local councils,B: Police,C: Army,D: Both B and C,4
What are the responsibilities of the Local government regarding roads?,A: They are responsible only for footpaths bridges and drains,B: They are responsible only for the traffic controls and street lights,C: They are not responsible for anything,D: They are responsible for: street signs traffic controls local roads footpaths bridges and drains.,4
What should the people keep in mind while engaging in freedom of speech and freedom of expression?,A: That manners and etiquette are kept in mind,B: That everyone should have a say,C: That the laws of Australia should be obeyed,D: All of the above,4
Who are the people of power that should follow the Australian Law?,A: The government,B: The religious and community leaders,C: Business men,D: All of the above,4
Which level of government is responsible for the postal services and the communications network?,A: The Australian government,B: The local government,C: The provincial government,D: All of the above,4
How do Australians behave towards each other in times of need?,A: They only help family and friends,B: They only help people nearby or whom they know,C: They don’t help others,D: They help each other in times of need,4
What are some of the national institutions that are located in Canberra?,A: Parliament House and the High Court of Asia,B: Parliament House and the High Court of Australia,C: None of the above,D: All of the above,4
When is the Acknowledgement of Country delivered?,A: It is delivered as part of the Welcome and Housekeeping at weddings,B: It is delivered as part of the Welcome and Housekeeping at meetings and events,C: It is delivered as part of the Housekeeping and Housewarming at meetings,D: It can be delivered anywhere,4
What sort of racism can not be carried out in Australia?,A: Racism can be carried out if it is against the color of people,B: Racism has no place in Australia,C: Australia is a racist country,D: Both A and C,4
How was the problem of the convicts in Britain solved?,A: They decided to transport convicts to the other side of the world: to the new colony of Scotland,B: They decided to transport convicts to the other side of the world: to the new colony of New South Wales,C: They decided to transport convicts to the other side of the world: to the new colony of India,D: They killed them all.,4
What separates Tasmania from the mainland?,A: Bass Strait,B: Long Strait,C: Bass Volcano,D: Persian Sea,4
Having different constitutions how were the colonies managed?,A: They were managed easily,B: There were many difficulties between the colonies.,C: The colonies did not interact with each other,D: Both B and C,4
Which world-famous Reef runs along the eastern coast of the Torres Strait Island?,A: Great Barrier Reef,B: Small Barrier Reef,C: Great Reef,D: Smallest Reef in town,4
What advantage does a diverse and prosperous society give to Australia?,A: It enhances Australia’s connection to Europe,B: It enhances Australia’s connection to America,C: It enhances Australia’s connection to the World,D: It enhances Australia’s connection to Asia,4
Who determines the laws in Australia?,A: The President,B: The Parliament,C: The Queen,D: The judges,4
What are some of the events in which the National Anthem of Australia is sung?,A: Australian citizenship ceremonies,B: Major sporting events,C: Both A and B,D: None of the above,4
Which political party does the Governor-General belong to in Australia?,A: The ruling party,B: The opposition,C: He can be either from the ruling or the opposition party,D: He acts independently of any political party,4
Is it important for people to form and join associations to pursue common goals?,A: Yes it is their duty as Australians,B: Only native citizens are required to form and join associations to pursue common goals,C: Only people who are of age can form and join associations to pursue common goals,D: People can also decide not to join and cannot be forced into doing so,4
What sort of defence system did the separate colonies have?,A: A very strong one,B: A coordinated one,C: A weak one,D: They didn’t have an army,4
Apart from conducting federal elections and referendums what is the responsibility of the AEC?,A: They are responsible for maintaining the commonwealth electoral roll,B: They are responsible for ensuring fair and just job distribution,C: Both A and B,D: None of the above,4
What should people who serve in the Australian parliament feel?,A: Pressure,B: Honour,C: It is a big responsibility,D: Both B and C,4
What is an area of government called?,A: A legislation,B: A portfolio,C: A charade,D: All of the above,4
On what basis should a person get a job?,A: Based on their ethnicity gender and wealth,B: Based on their skills and experience,C: Depends on the job they are applying for,D: All of the above,4
What are some things that men and women can do?,A: They have equal access to education and employment vote at elections and stand for parliament,B: Join the Australian Defence Force and the police force,C: Be treated equally in courts of law,D: All of the above,4
How many states are there in the Commonwealth of Australia?,A: 2,B: 4,C: 6,D: 8,4
What is the capital of Tasmania?,A: Melbourne,B: Brisbane,C: Canberra,D: Hobart,4
What is the Bill that is signed by the Governor-General called?,A: A Royal Asset,B: A Royal Document,C: A Royal Assent,D: All of the above,4
In Australia can you break the law if no one is watching you?,A: Yes you can break the law as no one is watching,B: You will not be punished if you break the law when no one is watching,C: No you should always follow the law even if no one is watching.,D: Both A and B,4
How is the violence against people treated in Australia?,A: It is illegal in Australia and is a very serious crime,B: It is legal in Australia if there is a solid reason for it,C: If you are an Australian citizen you can carry out violence against people under certain situations,D: Both B and C,4
In which election is it not compulsory to vote in some states?,A: Territory elections,B: Federal and state elections,C: Local government elections,D: Both A and B,4
What does the top half of the Australian Aboriginal Flag represent?,A: The Torres Strait Islander Peoples,B: The Aboriginal People of Aboriginal Land,C: The Aboriginal People of Australia,D: None of the above,4
Generally who delivers the Acknowledgement of Country at meetings and events?,A: The Chair or Master of Ceremonies,B: The opening speaker,C: Both A and B,D: Anyone,4
Where are all the powers of the government written?,A: In an unofficial document,B: In the Australian Constitution,C: In the Constitution of Sydney,D: In the Constitution of Melbourne,4
What are some of the privileges that will be given to Australian citizens?,A: Apply for work in the Australian Public Service and the Australian Defence Force,B: Apply for an Australian passport and re-enter Australia freely,C: Ask for consular assistance from an Australian official while overseas,D: All of the above,4
After which settlement was Australia made of separate self-governing colonies?,A: American,B: British,C: Australian,D: Both A and B,4
What is the capital of South Australia?,A: Canberra,B: Adelaide,C: Sydney,D: New Castle,4
Which people of the government can influence the decisions of the AEC?,A: The President of Australia,B: Political parties or people in government cannot influence the decisions of the AEC,C: Political parties or people in government can influence the decisions of the AEC partly,D: Both A and C,4
Which level of Government is responsible for social security?,A: Provincial government,B: Local government,C: The Australian government,D: The territory government,4
What are the main political parties in Australia?,A: The Party of Australia the Australian Labor Party the Nationals and the Australian Greens.,B: The Liberal Party of Australia the Australian Labor Party the Nationalists and the Australian Greens.,C: The Liberal Party of Australia the Australian Labor Party the Nationals and the Australian Greens.,D: All of the above,4
What are some ways in which you can help others in times of need?,A: By taking a meal to an elderly neighbour driving a friend to a medical appointment or visiting someone who is sick frail or lonely.,B: By paying someone’s taxes,C: By paying someone’s health insurance,D: By getting a guilty person out of jail,4
Where does the power of the government come from in Australia?,A: The King,B: The President,C: The people of Australia,D: All of the above,4
Under what cases can Australian officials help Australian citizens overseas?,A: Serious illness and death,B: In case of an accident,C: Getting an emergency passport,D: All of the above,4
What does Australia aim to build?,A: A cohesive and unified nation,B: A nation with many different identities,C: None of the above,D: A nation only for immigrants,4
What are the representatives in the Parliament answerable to the people for?,A: Their conduct,B: Their decisions,C: Their political career,D: All of the above,4
What should the Australian Parliament keep in mind while making or changing the laws in Australia?,A: Laws should be made or changed to benefit the political parties,B: Laws should be made or changed to benefit the Queen,C: Laws should be made or changed to benefit the overseas Australians,D: Laws should be made or changed to benefit the nation,4
Which is Australia’s second largest state?,A: Sydney,B: Queensland,C: Victoria,D: New South Land,4
Who deals with crimes under the state and territory laws?,A: The police force of Australia,B: The police force of the states and the Northern Territory,C: Both A and B,D: None of the above,4
What is present in the background of the Commonwealth Coat of Arms?,A: A wafer,B: A wattle,C: A window,D: None of the above,4
Who are “independents?”,A: The parliamentarians who do not belong to any political party,B: The parliamentarians who get elected,C: The parliamentarians who were elected directly by the Queen,D: All of the above,4
Who should know about the laws in Australia?,A: Residents only,B: Natives only,C: Anyone who is in the country,D: People who have ancestors in the country,4
Who is the Head of State of Australia?,A: The Queen of Russia,B: The King of Australia,C: The Queen of Australia,D: The King of Russia,4
What role does the Queen have in the day-to-day role in government?,A: She plays a vital role,B: She plays a secondary role,C: She does not have a day-to-day role in the government,D: None of the above,4
Legally who are you supposed to tell who you voted for?,A: Your parents,B: Your friends Your friends,C: Your neighbours,D: No one,4
Which departments are the Ministers responsible for?,A: The government departments,B: The local departments,C: The private departments,D: All of the above,4
How much authority does the Australian Government have over the self-governing territory laws?,A: It can pass new laws only,B: It can alter or revoke a law anytime,C: It needs permission to revoke or alter laws,D: All of the above,4
What is equal opportunity called in Australia?,A: Fairly go,B: Fairer go,C: Fair opportunities,D: Fair go,4
In which states and territories is Australia Day a public holiday?,A: North Australia,B: South Australia,C: Canberra,D: All the states and territories,4
Who makes up the Parliament?,A: The representatives who were elected by the people of Australia,B: The representatives who were selected by the President,C: The representatives who paid the highest amount of taxes,D: All of the above,4
What is the status of religious laws in Australia?,A: They have no legal status in Australia,B: They are the law in Australia,C: They are a small part of the legal system in Australia,D: None of the above,4
What is the Senate also known as?,A: The Upper House,B: The Lower House,C: The House of Review,D: Both A and C,4
What is the right to form and join associations to pursue common goals known as?,A: Freedom of speech,B: Freedom of association,C: Freedom of expression,D: All of the above,4
What sort of freedom does television radios and newspapers have?,A: Freedom of religion,B: Freedom of association,C: Both A and B,D: Freedom of speech,4
What should all Australian citizens commit to do?,A: Stay out of the way of war if one occurs,B: Join together to defend the nation and its way of life if necessary,C: Commit to stay out of harm's way is the need arise,D: Both A and C,4
Which organisation works to ensure that all citizens are aware of their tax rights and obligations?,A: MTO,B: ATO,C: BTO,D: STO,4
Which special ceremonies take place across Australia on Australia Day?,A: Marriages,B: Oaths,C: Special citizenship ceremonies,D: All of the above,4
Why are the Queen’s powers delegated to the Governor-General in Australia?,A: Because she is very busy,B: Because she does not live in Australia,C: Because she is not much capable,D: All of the above,4
If the person who commits domestic or family crimes is a woman what happens?,A: A woman does not go to jail,B: Only a man who carries out domestic or family crimes goes to jail,C: A person who commits these crimes can go to jail whether they are a man or a woman,D: It depends on the situation,4
How many MP’s does each state and territory need?,A: It depends on the number of people in that state or territory,B: Every state can have only 23 MP’s,C: Every state can have only 2 MP’s,D: Every state can have 100 MP’s,4
Which House of the Australian Parliament is also called the States’ House?,A: The Senate,B: The House of Representatives,C: The House of Lord’s,D: All of the above,4
What privilege does the Australian government give to the citizens in case of voting?,A: They can vote in only the federal elections,B: They can vote in the federal and state or territory elections,C: They can vote in a referendum,D: Both B and C,4
When did the major chunk of non-British migrants come to Australia?,A: After the World War I,B: After the World War II,C: After the Industrial Revolution,D: After the Dark Ages,4
What does the official symbol of the Commonwealth of Australia identify?,A: The authority and property of the Commonwealth of Australia,B: The authority of the government of the Commonwealth of Australia,C: Both A and B,D: None of the above,4
Which legend tells about the colours of the opal?,A: American,B: Aboriginal,C: Folk lore,D: None of the above,4
How do courts decide who is innocent and who is not?,A: They see them doing the crime,B: They believe what the lawyers say,C: They decide on the basis of evidence,D: All of the above,4
What happened 10 years after the gold rush?,A: Chinese took over the economy,B: All the gold finished,C: Australia’s population more than doubled,D: All of the above,4
How many points does the Commonwealth star have?,A: 4,B: 5,C: 6,D: 7,4
Who can apply for an Australian Passport?,A: Anyone coming to Australia,B: Students who have settled in Australia,C: People who have come to Australia more than 10 times in the past.,D: New Australian Citizens can apply for an Australian Passport,4
Who is the current Head of State of Australia?,A: Her Majesty Queen Elizabeth I,B: Her Majesty Queen Elizabeth II,C: Her Majesty Queen Elizabeth III,D: Her Majesty Queen Victoria III,4
Who was the first Governor of the colony of New South Wales?,A: Captain Hardy,B: Captain Arthur Junior,C: Captain Arthur Phillip,D: No one there was monarchy,4
What happens when an Australian citizen travels overseas?,A: They need to apply for a visa before re-entry,B: They are free to return to Australia without the need for a visa,C: Depending on how long their stay was a visa might or might not be required.,D: None of the above,4
Apart from maintaining peace and order in the community what do the police do?,A: They protect life and property,B: They ensure the sewerage system is fine,C: They ensure child labor does not happen,D: They ensure jobs are distributed properly,4
Which part of Western Australia is a wine-growing and agricultural area?,A: All of the state,B: North-east of the state,C: South-west of the state,D: All of the above,4
What is the golden wattle?,A: Australia’s national food,B: Australia’s national animal,C: Both A and B,D: Australia’s national flower,4
How should babies and young children travel in a car?,A: They must be in any car seat,B: They must be in an approved car seat,C: They must be in the lap of an elder person,D: They cannot travel in a car,4
What is joining any legal organisation known as?,A: Freedom of association,B: Freedom of speech,C: Freedom of expression,D: Freedom of religion,4
Where should Australian laws be followed?,A: Only in Australia,B: Some Australian laws must also be followed by Australian citizens even when they are overseas,C: Australian laws should be followed worldwide,D: None of the above,4
Why is the Union Jack present in the National Flag of Australia?,A: It shows Australia’s commitment and loyalty to the World,B: It shows Australia’s commitment and loyalty to Britain,C: It represents Australia’s history of British settlement and the laws they inherited as a result,D: All of the above,4
How does the Australian Government ensure one person or a group of people don’t hold the entire power of government?,A: By holding elections every year,B: By asking the common man to participate in the elections as candidates,C: By dividing the power of the government,D: All of the above,4
What type of government does Australia have?,A: An unstable one,B: A stable one,C: Depends on the circumstances,D: It does not have a government,4
How can an Australian citizen support the government to provide important services to the Australian community?,A: By working,B: By paying taxes,C: None of the above,D: Both A and B,4
What role does the jury play?,A: It decides the penalty,B: It decides which day the case will have its next hearing,C: It decides who will be deported,D: It decides if a person is innocent or guilty,4
What are the Aboriginal and Torres Strait Islander people famous for?,A: They have the oldest continuous cultures and traditions in Australia,B: They have the oldest continuous cultures and traditions in America,C: Both A and B,D: They have the oldest continuous cultures and traditions in the world.,4
What comes under social security?,A: Family support,B: Pension,C: Both A and B,D: Only pension for the eldery.,4
What is Australian citizenship all about?,A: Living out the values of America in your everyday life and in your local community,B: Living out the values of the world in your everyday life and in your local community,C: Living out the Australian values in your everyday life and in your local community,D: All of the above,4
Which institution has the ultimate power to apply and interpret the laws of Australia?,A: The Government,B: The High Court of Australia,C: The President House,D: Both A and C,4
Where do the Torres Strait Islands lie?,A: South of the NSW state,B: West of the Victoria state,C: North of the Queensland state,D: East of the Tasmania state,4
Which areas have their own police force?,A: The States,B: The Northern Territory,C: Both A and B,D: None of the above,4
Who is required by law to wear a seatbelt?,A: The driver,B: The driver and the person on the passenger’s seat,C: Everyone travelling in a car,D: Only A and B,4
What heritage does Australia have?,A: African-American,B: Judaeo-Christian,C: Islamic-Christian,D: All of the above,4
When is Anzac Day commemorated?,A: On 25th April,B: On 26th April,C: On 27th April,D: On 28th April,4
When did the “gold rush” happen?,A: 1800,B: 1851,C: 1860,D: 1870,4
What did the Australian Constitution establish?,A: The Parliament of the Commonwealth of Australia,B: The Parliament of Australia,C: The Parliament of the Commonwealth of Asia,D: The Parliament of the Commonwealth of America,4
How can people express their views?,A: Through art,B: Through film and music,C: Through literature,D: All of the above,4
What does the Australian Constitution do?,A: It sets out rules and regulations for the youth of the nation,B: It sets out the basic rules for the people of Australia,C: It sets out the basic rules for the government of Australia,D: It sets out the basic rules for non-Australian citizens,4
What happens if the jury finds a person guilty in a criminal trial?,A: The Jury decided the punishment,B: The lawyers decide the punishment,C: The judge decides the penalty,D: The victim is hanged,4
Who can serve on the jury?,A: Australian citizens who have ancestors in the country,B: Any person who is 16 and above,C: Australian citizens who are on the electoral roll,D: All of the above,4
Why did people want a single nation for Australia?,A: They wanted one united country,B: They wanted to show the world they were one,C: There were many problems in having separate colonies like expensive trade weak defense systems etc.,D: Both A and B,4
Where is the Australian Capital Territory located?,A: Between Sydney and Austria,B: Between Melbourne and Perth,C: Between Sydney and Melbourne,D: None of the above,4
What are the national colours of Australia?,A: Green,B: Gold,C: Both A and B,D: Red,4
What is the capital of Western Australia?,A: Brisbane,B: New Castle,C: Canberra,D: Perth,4
Why are Australians allowed to peacefully protest against the actions of the government?,A: Because tolerance of peaceful public protest is an essential part of monarchy,B: Because tolerance of peaceful public protest is an essential part of democracy,C: because tolerance of peaceful public protest is an essential part of martial law,D: All of the above,4
When did the European settlement start in Australia?,A: 12 june 1770,B: 22 November 1780,C: 26 January 1788,D: 16 March 1790,4
What is the colour of the Commonwealth Star that sits above the shield?,A: Orange,B: Yellow,C: Maroon,D: Golden,4
How were British migrants encouraged to settle in Australia?,A: Through giving them property,B: Through different programs,C: By giving them money and gold,D: By giving them free food,4
What is the role of courts in society?,A: They decide who is a minor criminal only,B: They decide if a person has or has not broken the law,C: They decide the penalty of the person who has broken the law,D: Both B and C,4
What does the yellow circle in the middle of the Australian Aboriginal Flag represent?,A: The moon,B: The ocean,C: The sun,D: The rainbow,4
Who announces the Australian of the Year Awards?,A: The President,B: The Prime Minister,C: The Monarch,D: Through democracy,4
On which Christian days does Australia have public holidays?,A: Good Friday,B: Easter Sunday,C: Christmas Day,D: All of the above,4
How are all Australians expected to treat each other?,A: Treatment should be according to the race gender and marital status of the people,B: Equal treatment should be given to everyone,C: Wealthy people should be treated better than the rest,D: Both A and C,4
Members of which community collected donations at shopping centres and fundraisers?,A: Sikh,B: Muslim,C: Chinese Vietnamese and Cambodian,D: All of the above,4
What do you need to have before driving a car in Australia?,A: A local driver’s licence and a registered car,B: You should be above 22 years to drive a car,C: You should have your own car,D: Both B and C,4
What is the national gemstone of Australia?,A: The quartz,B: The opal,C: The sapphire,D: Both A and B,4
Who can be called to serve on a jury anytime?,A: The judge,B: The barrister,C: Any Australian citizen,D: An army official,4
What kind of relationship does the police and the community have in Australia?,A: A constraint one,B: A good one,C: A difficult one,D: They don’t have any relationship,4
Who can Australian citizens contact if they want to raise concerns about government policy?,A: Their area head,B: Their friends,C: The President,D: Their elected representatives,4
What sort of behaviour comes under domestic or family violence?,A: Threats to control a partner,B: Causing fear or threatening the safety of your partner,C: Both A and B,D: None of the above,4
Is religion and religious activities above the laws of Australia?,A: No they are not,B: Yes they are,C: Depends on the situation,D: They can be broken,4
Where is the blue panel present on the Torres Strait Islander Flag?,A: On the top right side,B: On the bottom left side,C: On both sides of the flag,D: In the centre of the flag,4
Which Star is under the Union Jack on the National Flag of Australia?,A: The French Star,B: The Commonwealth Star,C: The Australian Star,D: The Union Jack Star,4
Members of which community donated bottles of water to communities and firefighters in Queensland?,A: Sikh,B: Muslim,C: Chinese,D: Vietnamese,4
What was the federation of states called when the colonies were united?,A: Australia,B: Commonwealth of Australia,C: Common Australia,D: Wealth of Australia,4
Why are the fine buildings in Victoria famous?,A: They were built from the loot from pirates,B: They were built by war prisoners,C: They were built all by hand,D: They were built from the wealth accumulated during the gold rush,4
What else does the Welcome to Country show?,A: Pay respect to the government of Australia,B: Pay respect to the Queen of England,C: Pay respect to Aboriginal and Torres Strait Islanders,D: None of the above,4
What are the councils in various areas responsible for?,A: To keep the population in check,B: To control the rising crime rate,C: To maintain law and order in the State,D: To plan and deliver services to the local community,4
How can citizens have a say on how Australia is governed?,A: By voting for a person to represent them in parliament,B: By running for elections,C: Both A and B,D: None of the above,4
The role and responsibilities of the Administrator are similar to who?,A: The Prime Minister,B: The Queen,C: The senator,D: State of Governor,4
Who is the Prime Minister?,A: The Head of State,B: The leader of the Australian Government,C: The Queen’s special man,D: None of the above,4
What does a Parliamentary democracy show?,A: It shows that there is a lot of involvement of the Australian citizens in how the country is governed,B: It shows that there is no involvement of the Australian citizens in how the country is governed,C: It shows that the country is solely run by the Queen,D: Both B and C,4
What is the law regarding marriage in Australia?,A: A man and woman can not marry irrespective of their religion,B: Inter-caste marriages are not allowed between men and women,C: Two people can marry each other including marriage between two men or two women.,D: Only men and women can marry,4
How do states and territories make their laws?,A: They don't have separate laws,B: They make their own laws according to their will,C: They make their own laws in a way similar to the Australian laws,D: None of the above,4
In Australia what is the leader of a local government called?,A: A Shire President,B: The President,C: A Mayor,D: Both A and C,4
What is South Australia famous for?,A: Mining regions,B: Agricultural regions,C: Wine regions,D: All of the above,4
What is a Welcome to Country?,A: An oath that new citizens take to become Australians,B: A pledge that new citizens make to become Australians,C: A political practice performed by an Aboriginal or Torres Strait Islander custodian of the local region welcoming visitors to their traditional land,D: A cultural practice performed by an Aboriginal or Torres Strait Islander custodian of the local region welcoming visitors to their traditional land,4
Who is above the other under the Australian Law?,A: Native Australians,B: Citizens of Australia,C: No one all Australians are equal under the law,D: Aboriginals are above all others,4
Which city in South Australia has examples of fine colonial architecture?,A: Perth,B: Canberra,C: Adelaide,D: None of the above,4
Food and meat inspection noise and animal control rubbish collection etc. are the duties of which government?,A: Local government,B: Federal government,C: Provincial government,D: All of the above,4
Which government controls the road and traffic rules?,A: The state government,B: The territory government,C: The local government,D: Both A and B,4
What are the colours of the Australian Aboriginal Flag?,A: Black white and red,B: Red yellow and white,C: Red orange and yellow,D: Black red and yellow,4
What type of traffic laws are there in Australia?,A: Lenient ones,B: Very strict ones,C: Depends on the flow of traffic,D: Depends on the area and its laws,4
What is the national language of Australia?,A: English,B: French,C: Spanish,D: Australian,4
What does each state and territory of Australia have?,A: Their own embroidered emblem,B: Their own green emblem,C: Their own floral emblem,D: All of the above,4
Once the government collects taxes what are they spent on?,A: Government-funded healthcare education social security defence and roads and infrastructure,B: Government-funded healthcare education social security defence and driving test fee,C: Government-funded healthcare and education and pay given to women during maternity leave,D: All of the above,4
What is the capital of Victoria?,A: Perth,B: Melbourne,C: Canberra,D: New Castle,4
Under what circumstances is it illegal to drive?,A: If you have taken drugs,B: If you are above the blood alcohol limit,C: When driving at night or in a bad weather,D: Both A and B,4
What majority of voters should vote for a change to occur?,A: The majority of voters across the states,B: The majority of voters across the nation,C: Both A and B,D: None of the above,4
What are government ministers responsible for?,A: The entire government,B: An area of government,C: Only the areas allotted to them by the Prime Minister,D: None of the above,4
Which country’s laws should you obey being an Australian citizen?,A: Australian laws and the laws of the country you are currently in,B: Laws of the country you are currently in,C: Only Australian Law,D: None of the above,4
Who has the power to make and change the laws in Australia?,A: Legislation,B: Parliament,C: President,D: Prime Minister,4
What is Australia divided into?,A: Different countries,B: Federal electorates,C: Commercial electorates,D: Both B and C,4
Who mostly wears uniforms of the national colours of Australia?,A: Students,B: Politicians,C: National sports teams,D: All of the above,4
Which is the smallest state of Australia?,A: Perth,B: Queensland,C: Both A and B are small,D: Tasmania,4
What does the group of stars on the right represent in the National Flag of Australia?,A: The Southern Cross,B: The Western Cross,C: The Night Sky,D: All of the above,4
What rights do men have over women in Australia?,A: They have equal rights,B: Men have more rights,C: Women have more rights,D: Who has more rights depends on the situation,4
What are some of the icons of Western Australia?,A: Ningaloo Coast,B: Margaret River,C: Kimberley region,D: All of the above,4
Does Australia give any privileges to the Australian citizens?,A: Yes,B: No,C: Depends on the situation,D: Depends on the government,4
What role does the Governor-General have in the government of Australia?,A: The Governor-General is part of the government,B: The Governor-General is not part of the government but can take sides,C: The Governor-General is not part of the government and must remain neutral,D: None of the above,4
What significance does the bottom half of the Australian Aboriginal Flag have?,A: It has political significance,B: It has ceremonial significance,C: Both A and B,D: None of the above,4
What do the House of Representatives and the Senate do when they are presented with a “Bill”?,A: The approve it right away,B: They make it a law after consideration,C: They debate and vote on whether they agree with the Bill.,D: All of the above,4
What does the law say for people who hold positions of power in the Australian community?,A: Even they must obey the law,B: They must not obey the law,C: They are not legally bound by the law,D: None of the above,4
Which government operates separately from churches and other religious entities?,A: Secular,B: Non-secular,C: Monarchs,D: All of the above,4
